category	jp	en	tags	source
expression	笑顔、スマイル	smile	expression,emotion,joy
expression	笑う	laughing	expression,emotion,joy
expression	ほほ笑み	light smile	expression,emotion,joy
expression	指笑顔	fingersmile	expression,emotion,joy
expression	にやり	grin	expression,emotion,smug
expression	ハッピー	happy	expression,emotion,joy
expression	どや顔	smug	expression,emotion,smug
expression	嬉し涙	happy tears	expression,emotion,joy
expression	邪悪な笑み	evil smile	expression,emotion,joy
expression	邪悪な笑み	evil grin	expression,emotion,joy
expression	病み	crazy	expression,emotion,neutral
expression	悪意のある笑み	smirk	expression,emotion,neutral,smug
expression	不気味な笑顔	crazy smile	expression,emotion,joy
expression	不気味な笑顔	rape face	expression,emotion,neutral
expression	影のかかった顔	shaded face	expression,emotion,neutral
expression	怖い笑顔	false smile	expression,emotion,joy
expression	影のかかった目	shading eyes	expression,emotion,neutral,eye
expression	狂気の目	crazy eyes	expression,emotion,neutral,eye
expression	異常に見開いた目	unusually open eyes	expression,emotion,neutral,eye
expression	見開いた目	wide-eyed	expression,emotion,neutral,eye
expression	じっと見つめる	staring	expression,emotion,neutral,eye
expression	閉じた目	closed eyes	expression,emotion,neutral,eye
expression	細められた目	narrowed eyes	expression,emotion,neutral,eye
expression	半目	half-closed eyes	expression,emotion,tired,eye
expression	目を細める	squinting	expression,emotion,neutral
expression	ウィンク	one eye closed	expression,emotion,neutral,eye
expression	まばたき	blinking	expression,emotion,neutral
expression	目を回す	rolling eyes	expression,emotion,neutral,eye
expression	上目遣い	upturned eyes	expression,emotion,neutral,eye
expression	まぶたを引っ張る	eyelid pull	expression,emotion,neutral,eye
expression	寄り目	cross-eyed	expression,emotion,neutral,eye
expression	あっかんべー	akanbe	expression,emotion,neutral
expression	虚ろ目	empty eyes	expression,emotion,neutral,eye
expression	瞳孔なし	no pupils	expression,emotion,neutral,eye
expression	白目	blank eyes	expression,emotion,neutral,eye
expression	無表情な凝視	blank stare	expression,emotion,neutral,eye
expression	空洞の目	hollow eyes	expression,emotion,neutral,eye
expression	口を開ける	open mouth	expression,emotion,neutral,mouth
expression	口を閉じる	closed mouth	expression,emotion,neutral,mouth
expression	口を少しだけ開ける	parted lips	expression,emotion,neutral,mouth
expression	横向きの口	sideways mouth	expression,emotion,neutral,mouth
expression	ドットマウス	dot mouth	expression,emotion,neutral,mouth
expression	唇を噛む	biting own lip	expression,emotion,neutral,mouth
expression	四角い口	rectangular mouth	expression,emotion,neutral,mouth
expression	口を引っ張る	mouth pull	expression,emotion,neutral,mouth
expression	ひし形の口	diamond mouth	expression,emotion,neutral,mouth
expression	頬を引っ張る	cheek pull	expression,emotion,neutral
expression	唇をなめる	licking lips	expression,emotion,neutral,mouth
expression	すぼめた唇	puckered lips	expression,emotion,neutral,mouth
expression	くしゃみをする	sneezing	expression,emotion,neutral
expression	唾を吐く	spitting	expression,emotion,neutral
expression	無表情	expressionless	expression,emotion,neutral
expression	恥じらい	embarrassed	expression,emotion,shy
expression	いたずらっぽく	naughty face	expression,emotion,neutral
expression	赤面、頬染め	blush	expression,emotion,shy
expression	誘惑的な笑み	seductive smile	expression,emotion,joy
expression	薄い赤面	light blush	expression,emotion,shy,blush_detail
expression	顔全体の赤面	full-face blush	expression,emotion,shy,blush_detail
expression	鼻の赤面	nose-blush	expression,emotion,shy,blush_detail
expression	耳の赤面	ear blush	expression,emotion,shy,blush_detail
expression	声を漏らす	moaning	expression,emotion,neutral
expression	身体の赤面	body blush	expression,emotion,shy,blush_detail
expression	息	breath	expression,emotion,neutral
expression	赤面ステッカー	blush stickers	expression,emotion,shy,blush_detail
expression	息が荒い	heavy breathing	expression,emotion,neutral
